team,player_name,section,fg_id,mlb_id
angels,Adam Frazier,Projected Bench,15223,624428
angels,Alek Manoah,Projected Starting Rotation,26410,666201
angels,Brent Suter,Projected Bullpen,13942,608718
angels,Bryce Teodosio,Projected Bench,29524,669326
angels,Chase Silseth,Projected Bullpen,30074,681217
angels,Christian Moore,Starting Lineup,34979,695681
angels,Drew Pomeranz,Projected Bullpen,11426,519141
angels,Grayson Rodriguez,Projected Starting Rotation,24492,680570
angels,Jo Adell,Starting Lineup,20220,666176
angels,Jordan Romano,Projected Bullpen,16122,605447
angels,Jorge Soler,Starting Lineup,14221,624585
angels,José Soriano,Projected Starting Rotation,22100,667755
angels,Josh Lowe,Starting Lineup,19953,666139
angels,Kirby Yates,Projected Bullpen,9073,489446
angels,Logan O'Hoppe,Starting Lineup,24729,681351
angels,Mike Trout,Starting Lineup,10155,545361
angels,Nolan Schanuel,Starting Lineup,33189,694384
angels,Oswald Peraza,Projected Bench,22823,672724
angels,Reid Detmers,Projected Starting Rotation,27468,672282
angels,Robert Stephenson,Projected Bullpen,13594,596112
angels,Ryan Zeferjahn,Projected Bullpen,25420,666171
angels,Sam Bachman,Projected Bullpen,29754,696147
angels,Travis d'Arnaud,Projected Bench,7739,518595
angels,Yoán Moncada,Starting Lineup,17232,660162
angels,Yusei Kikuchi,Projected Starting Rotation,20633,579328
angels,Zach Neto,Starting Lineup,31347,687263
astros,Bennett Sousa,Projected Bullpen,21345,656986
astros,Brice Matthews,Projected Bench,33280,694728
astros,Bryan Abreu,Projected Bullpen,16609,650556
astros,Bryan King,Projected Bullpen,25890,687911
astros,Cam Smith,Projected Bench,35108,701358
astros,Carlos Correa,Starting Lineup,14162,621043
astros,César Salazar,Projected Bench,21587,
astros,Christian Walker,Starting Lineup,13419,572233
astros,Cristian Javier,Projected Starting Rotation,17606,664299
astros,Enyel De Los Santos,Projected Bullpen,18403,660853
astros,Hunter Brown,Projected Starting Rotation,25880,686613
astros,Isaac Paredes,Starting Lineup,20036,670623
astros,Jake Meyers,Starting Lineup,20308,676694
astros,Jayden Murray,Projected Bullpen,26482,
astros,Joey Loperfido,Starting Lineup,29630,694388
astros,Jose Altuve,Starting Lineup,5417,514888
astros,Lance McCullers Jr.,Projected Starting Rotation,14120,621121
astros,Mike Burrows,Projected Starting Rotation,24728,681347
astros,Nick Allen,Projected Bench,22277,669397
astros,Roddery Muñoz,Projected Bullpen,25311,682610
astros,Ryan Weiss,Projected Starting Rotation,sa3007778,680802
astros,Steven Okert,Projected Bullpen,13580,595345
astros,Tatsuya Imai,Projected Starting Rotation,sa3062955,837227
astros,Yainer Diaz,Starting Lineup,23003,673237
astros,Yordan Alvarez,Starting Lineup,19556,670541
astros,Zach Cole,Starting Lineup,31583,805904
athletics,Aaron Civale,Projected Starting Rotation,19479,650644
athletics,Andy Ibáñez,Projected Bench,18819,628451
athletics,Austin Wynns,Projected Bench,15271,642851
athletics,Brent Rooker,Starting Lineup,19627,667670
athletics,Carlos Cortes,Projected Bench,21842,666126
athletics,Colby Thomas,Projected Bench,31855,687515
athletics,Denzel Clarke,Starting Lineup,29858,672016
athletics,Elvis Alvarado,Projected Bullpen,21662,665660
athletics,Hogan Harris,Projected Bullpen,21520,663687
athletics,Jacob Lopez,Projected Starting Rotation,25098,682052
athletics,Jacob Wilson,Starting Lineup,33266,805779
athletics,Jeff McNeil,Starting Lineup,15362,643446
athletics,Jeffrey Springs,Projected Starting Rotation,17677,605488
athletics,Justin Sterner,Projected Bullpen,27694,686993
athletics,Lawrence Butler,Starting Lineup,22542,671732
athletics,Luis Medina,Projected Bullpen,21649,665622
athletics,Luis Morales,Projected Starting Rotation,32227,806960
athletics,Luis Severino,Projected Starting Rotation,15890,622663
athletics,Mark Leiter Jr.,Projected Bullpen,15551,643410
athletics,Max Muncy,Starting Lineup,29779,691777
athletics,Michael Kelly,Projected Bullpen,12791,547184
athletics,Nick Kurtz,Starting Lineup,35110,701762
athletics,Scott Barlow,Projected Bullpen,14993,605130
athletics,Shea Langeliers,Starting Lineup,25816,669127
athletics,Tyler Ferguson,Projected Bullpen,19481,621053
athletics,Tyler Soderstrom,Starting Lineup,27467,691016
blue-jays,Addison Barger,Starting Lineup,24598,680718
blue-jays,Alejandro Kirk,Starting Lineup,22581,672386
blue-jays,Andrés Giménez,Starting Lineup,19950,665926
blue-jays,Braydon Fisher,Projected Bullpen,24609,680755
blue-jays,Brendon Little,Projected Bullpen,21574,663893
blue-jays,Cody Ponce,Projected Starting Rotation,17920,664074
blue-jays,Daulton Varsho,Starting Lineup,19918,662139
blue-jays,Davis Schneider,Projected Bench,23565,676914
blue-jays,Dylan Cease,Projected Starting Rotation,18525,656302
blue-jays,Eric Lauer,Projected Bullpen,19316,641778
blue-jays,Ernie Clement,Starting Lineup,20352,676391
blue-jays,George Springer,Starting Lineup,12856,543807
blue-jays,Jeff Hoffman,Projected Bullpen,17432,656546
blue-jays,Jesús Sánchez,Starting Lineup,19913,660821
blue-jays,José Berríos,Projected Starting Rotation,14168,621244
blue-jays,Kazuma Okamoto,Starting Lineup,sa3063134,672960
blue-jays,Kevin Gausman,Projected Starting Rotation,14107,592332
blue-jays,Louis Varland,Projected Bullpen,27691,686973
blue-jays,Max Scherzer,Projected Starting Rotation,3137,453286
blue-jays,Myles Straw,Projected Bench,17620,664702
blue-jays,Nathan Lukes,Projected Bench,18123,664770
blue-jays,Tommy Nance,Projected Bullpen,19178,667297
blue-jays,Trey Yesavage,Projected Starting Rotation,35456,702056
blue-jays,Tyler Heineman,Projected Bench,13897,623168
blue-jays,Tyler Rogers,Projected Bullpen,15541,643511
blue-jays,Vladimir Guerrero Jr.,Starting Lineup,19611,665489
braves,Aaron Bummer,Projected Bullpen,16258,607481
braves,Austin Riley,Starting Lineup,18360,663586
braves,Brett Wisely,Projected Bench,27735,689172
braves,Bryce Elder,Projected Starting Rotation,27779,693821
braves,Chris Sale,Projected Starting Rotation,10603,519242
braves,Dominic Smith,Starting Lineup,15653,642086
braves,Drake Baldwin,Starting Lineup,31539,686948
braves,Dylan Lee,Projected Bullpen,19996,669276
braves,Eli White,Projected Bench,19346,642201
braves,Grant Holmes,Projected Starting Rotation,16944,656550
braves,Hayden Harris,Projected Bullpen,31913,
braves,Joel Payamps,Projected Bullpen,14332,606303
braves,Jonah Heim,Projected Bench,16930,641680
braves,Jorge Mateo,Projected Bench,17273,622761
braves,José Suarez,Projected Bullpen,19911,660761
braves,Matt Olson,Starting Lineup,14344,621566
braves,Mauricio Dubón,Starting Lineup,16530,643289
braves,Michael Harris II,Starting Lineup,25931,671739
braves,Mike Yastrzemski,Starting Lineup,14854,573262
braves,Ozzie Albies,Starting Lineup,16556,645277
braves,Raisel Iglesias,Projected Bullpen,17130,628452
braves,Reynaldo López,Projected Starting Rotation,16400,625643
braves,Robert Suarez,Projected Bullpen,30115,663158
braves,Ronald Acuña Jr.,Starting Lineup,18401,660670
braves,Spencer Strider,Projected Starting Rotation,27498,675911
braves,Tyler Kinley,Projected Bullpen,18297,641755
brewers,Aaron Ashby,Projected Bullpen,23550,676879
brewers,Abner Uribe,Projected Bullpen,25327,682842
brewers,Andrew Vaughn,Starting Lineup,26197,683734
brewers,Angel Zerpa,Projected Bullpen,22717,672582
brewers,Blake Perkins,Projected Bench,19921,663368
brewers,Brandon Sproat,Projected Starting Rotation,33850,687075
brewers,Brandon Woodruff,Projected Starting Rotation,16162,605540
brewers,Brice Turang,Starting Lineup,22186,668930
brewers,Chad Patrick,Projected Starting Rotation,30113,694477
brewers,Christian Yelich,Starting Lineup,11477,592885
brewers,David Hamilton,Projected Bench,27531,666152
brewers,DL Hall,Projected Bullpen,22207,669084
brewers,Garrett Mitchell,Starting Lineup,27555,669003
brewers,Gary Sánchez,Projected Bench,11442,596142
brewers,Grant Anderson,Projected Bullpen,20546,681982
brewers,Jackson Chourio,Starting Lineup,28806,694192
brewers,Jacob Misiorowski,Projected Starting Rotation,31623,694819
brewers,Jake Bauers,Projected Bench,15194,641343
brewers,Jared Koenig,Projected Bullpen,27517,657649
brewers,Joey Ortiz,Starting Lineup,25493,687401
brewers,Kyle Harrison,Projected Starting Rotation,27758,690986
brewers,Luis Rengifo,Starting Lineup,19858,650859
brewers,Rob Zastryzny,Projected Bullpen,15094,
brewers,Sal Frelick,Starting Lineup,29622,686217
brewers,Trevor Megill,Projected Bullpen,17722,656730
brewers,William Contreras,Starting Lineup,20503,661388
cardinals,Alec Burleson,Starting Lineup,27615,676475
cardinals,Andre Pallante,Projected Starting Rotation,26108,669467
cardinals,Dustin May,Projected Starting Rotation,19716,669160
cardinals,George Soriano,Projected Bullpen,21863,666277
cardinals,Gordon Graceffo,Projected Bullpen,29519,700669
cardinals,Iván Herrera,Starting Lineup,20599,671056
cardinals,JJ Wetherholt,Starting Lineup,sa3025154,802139
cardinals,JoJo Romero,Projected Bullpen,19574,668941
cardinals,Jordan Walker,Starting Lineup,27475,691023
cardinals,José Fermín,Projected Bench,21746,665877
cardinals,Justin Bruihl,Projected Bullpen,23779,
cardinals,Kyle Leahy,Projected Starting Rotation,24763,681517
cardinals,Masyn Winn,Starting Lineup,27479,691026
cardinals,Matt Pushard,Projected Bullpen,sa3019955,
cardinals,Matt Svanson,Projected Bullpen,29629,694335
cardinals,Matthew Liberatore,Projected Starting Rotation,22294,669461
cardinals,Michael McGreevy,Projected Starting Rotation,29869,700241
cardinals,Nathan Church,Starting Lineup,31357,701675
cardinals,Nolan Gorman,Starting Lineup,22263,669357
cardinals,Pedro Pagés,Starting Lineup,25782,686780
cardinals,Ramón Urías,Projected Bench,18795,602104
cardinals,Riley O'Brien,Projected Bullpen,20348,676617
cardinals,Ryne Stanek,Projected Bullpen,15947,592773
cardinals,Thomas Saggese,Projected Bench,27883,695336
cardinals,Victor Scott II,Starting Lineup,31349,687363
cardinals,Yohel Pozo,Projected Bench,18848,650968
cubs,Alex Bregman,Starting Lineup,17678,608324
cubs,Cade Horton,Projected Starting Rotation,31872,690990
cubs,Caleb Thielbar,Projected Bullpen,10078,573204
cubs,Carson Kelly,Starting Lineup,13620,608348
cubs,Chas McCormick,Projected Bench,19599,676801
cubs,Colin Rea,Projected Bullpen,12317,607067
cubs,Daniel Palencia,Projected Bullpen,27914,694037
cubs,Dansby Swanson,Starting Lineup,18314,621020
cubs,Edward Cabrera,Projected Starting Rotation,21690,665795
cubs,Hoby Milner,Projected Bullpen,13346,571948
cubs,Hunter Harvey,Projected Bullpen,15507,640451
cubs,Ian Happ,Starting Lineup,17919,664023
cubs,Jacob Webb,Projected Bullpen,19274,657097
cubs,Jameson Taillon,Projected Starting Rotation,11674,592791
cubs,Javier Assad,Projected Bullpen,21741,665871
cubs,Matt Shaw,Projected Bench,33322,807713
cubs,Matthew Boyd,Projected Starting Rotation,15440,571510
cubs,Michael Busch,Starting Lineup,26319,683737
cubs,Michael Conforto,Projected Bench,16376,624424
cubs,Miguel Amaya,Projected Bench,21693,665804
cubs,Moisés Ballesteros,Starting Lineup,28820,694208
cubs,Nico Hoerner,Starting Lineup,21479,663538
cubs,Pete Crow-Armstrong,Starting Lineup,27769,691718
cubs,Phil Maton,Projected Bullpen,18064,664208
cubs,Seiya Suzuki,Starting Lineup,30116,673548
cubs,Shota Imanaga,Projected Starting Rotation,33829,684007
diamondbacks,Alek Thomas,Starting Lineup,23792,677950
diamondbacks,Brandon Pfaadt,Projected Starting Rotation,27782,694297
diamondbacks,Brandyn Garcia,Projected Bullpen,33568,
diamondbacks,Carlos Santana,Starting Lineup,2396,467793
diamondbacks,Corbin Carroll,Starting Lineup,25878,682998
diamondbacks,Drey Jameson,Projected Bullpen,26260,686753
diamondbacks,Eduardo Rodriguez,Projected Starting Rotation,13164,593958
diamondbacks,Gabriel Moreno,Starting Lineup,22664,672515
diamondbacks,Geraldo Perdomo,Starting Lineup,22799,672695
diamondbacks,Ildemaro Vargas,Projected Bench,13324,545121
diamondbacks,James McCann,Projected Bench,12859,543510
diamondbacks,Jonathan Loáisiga,Projected Bullpen,19753,642528
diamondbacks,Jordan Lawlar,Starting Lineup,29976,691783
diamondbacks,Jorge Barrosa,Projected Bench,23968,
diamondbacks,Kade Strowd,Projected Bullpen,26191,669704
diamondbacks,Ketel Marte,Starting Lineup,13613,606466
diamondbacks,Kevin Ginkel,Projected Bullpen,19876,656464
diamondbacks,Michael Soroka,Projected Starting Rotation,18383,647336
diamondbacks,Nolan Arenado,Starting Lineup,9777,571448
diamondbacks,Paul Sewald,Projected Bullpen,13892,623149
diamondbacks,Pavin Smith,Starting Lineup,19892,656976
diamondbacks,Ryan Thompson,Projected Bullpen,16647,657044
diamondbacks,Ryne Nelson,Projected Starting Rotation,26253,669194
diamondbacks,Taylor Clarke,Projected Bullpen,17611,664199
diamondbacks,Tim Tawa,Projected Bench,29571,694374
diamondbacks,Zac Gallen,Projected Starting Rotation,19291,668678
dodgers,Alex Call,Projected Bench,19296,669743
dodgers,Alex Vesia,Projected Bullpen,25007,681911
dodgers,Andy Pages,Starting Lineup,24816,681624
dodgers,Ben Casparius,Projected Bullpen,30085,676508
dodgers,Blake Treinen,Projected Bullpen,12572,595014
dodgers,Dalton Rushing,Projected Bench,31382,687221
dodgers,Edgardo Henriquez,Projected Bullpen,26944,683618
dodgers,Edwin Díaz,Projected Bullpen,14710,621242
dodgers,Emmet Sheehan,Projected Starting Rotation,29839,686218
dodgers,Freddie Freeman,Starting Lineup,5361,518692
dodgers,Hyeseong Kim,Starting Lineup,35322,808975
dodgers,Jack Dreyer,Projected Bullpen,30249,676263
dodgers,Justin Wrobleski,Projected Bullpen,31204,680736
dodgers,Kyle Tucker,Starting Lineup,18345,663656
dodgers,Max Muncy,Starting Lineup,13301,571970
dodgers,Miguel Rojas,Projected Bench,7802,500743
dodgers,Mookie Betts,Starting Lineup,13611,605141
dodgers,Roki Sasaki,Projected Starting Rotation,35323,808963
dodgers,Santiago Espinal,Projected Bench,19997,669289
dodgers,Shohei Ohtani,Projected Starting Rotation,19755,660271
dodgers,Shohei Ohtani,Starting Lineup,19755,660271
dodgers,Tanner Scott,Projected Bullpen,17586,656945
dodgers,Teoscar Hernández,Starting Lineup,13066,606192
dodgers,Tyler Glasnow,Projected Starting Rotation,14374,607192
dodgers,Will Klein,Projected Bullpen,27787,
dodgers,Will Smith,Starting Lineup,19197,669257
dodgers,Yoshinobu Yamamoto,Projected Starting Rotation,33825,808967
giants,Adrian Houser,Projected Starting Rotation,12718,605288
giants,Bryce Eldridge,Starting Lineup,33390,805811
giants,Casey Schmitt,Projected Bench,27577,669477
giants,Daniel Susac,Projected Bench,sa3019997,691740
giants,Erik Miller,Projected Bullpen,26252,669062
giants,Gregory Santos,Projected Bullpen,21894,666619
giants,Harrison Bader,Starting Lineup,18030,664056
giants,Heliot Ramos,Starting Lineup,22515,671218
giants,Jerar Encarnacion,Projected Bench,21871,666464
giants,José Buttó,Projected Bullpen,23313,676130
giants,JT Brubaker,Projected Bullpen,17578,664141
giants,Jung Hoo Lee,Starting Lineup,33824,808982
giants,Landen Roupp,Projected Starting Rotation,30076,694738
giants,Logan Webb,Projected Starting Rotation,17995,657277
giants,Luis Arraez,Starting Lineup,18568,650333
giants,Luis Matos,Projected Bench,26467,682641
giants,Matt Chapman,Starting Lineup,16505,656305
giants,Matt Gage,Projected Bullpen,17381,657424
giants,Patrick Bailey,Starting Lineup,27478,672275
giants,Rafael Devers,Starting Lineup,17350,646240
giants,Robbie Ray,Projected Starting Rotation,11486,592662
giants,Ryan Walker,Projected Bullpen,20423,676254
giants,Spencer Bivens,Projected Bullpen,30226,702352
giants,Trevor McDonald,Projected Bullpen,26448,686790
giants,Tyler Mahle,Projected Starting Rotation,16358,641816
giants,Willy Adames,Starting Lineup,15986,642715
guardians,Angel Martínez,Projected Bench,26540,682657
guardians,Austin Hedges,Projected Bench,12976,595978
guardians,Bo Naylor,Starting Lineup,21865,666310
guardians,Brayan Rocchio,Starting Lineup,23690,677587
guardians,Cade Smith,Projected Bullpen,27867,671922
guardians,Chase DeLauter,Starting Lineup,32127,800050
guardians,Connor Brogdon,Projected Bullpen,21205,641401
guardians,David Fry,Projected Bench,24934,681807
guardians,Erik Sabrowski,Projected Bullpen,24978,681870
guardians,Gabriel Arias,Starting Lineup,22563,672356
guardians,Gavin Williams,Projected Starting Rotation,30122,668909
guardians,George Valera,Starting Lineup,22541,671655
guardians,Hunter Gaddis,Projected Bullpen,25636,683769
guardians,Joey Cantillo,Projected Starting Rotation,23335,676282
guardians,Johnathan Rodríguez,Projected Bench,22530,671286
guardians,José Ramírez,Starting Lineup,13510,608070
guardians,Kyle Manzardo,Starting Lineup,29794,700932
guardians,Logan Allen,Projected Starting Rotation,27589,671106
guardians,Matt Festa,Projected Bullpen,19330,670036
guardians,Peyton Pallette,Projected Bullpen,sa3020742,
guardians,Rhys Hoskins,Starting Lineup,16472,656555
guardians,Shawn Armstrong,Projected Bullpen,12857,542888
guardians,Slade Cecconi,Projected Starting Rotation,27500,677944
guardians,Steven Kwan,Starting Lineup,24610,680757
guardians,Tanner Bibee,Projected Starting Rotation,30134,676440
guardians,Tim Herrin,Projected Bullpen,25139,682120
mariners,Andrés Muñoz,Projected Bullpen,20373,662253
mariners,Andrew Knizner,Projected Bench,19514,668800
mariners,Brendan Donovan,Starting Lineup,24679,680977
mariners,Bryan Woo,Projected Starting Rotation,30279,693433
mariners,Bryce Miller,Projected Starting Rotation,29837,682243
mariners,Cal Raleigh,Starting Lineup,21534,663728
mariners,Carlos Vargas,Projected Bullpen,22915,
mariners,Casey Legumina,Projected Bullpen,25921,
mariners,Cole Young,Starting Lineup,31680,702284
mariners,Cooper Criswell,Projected Bullpen,24975,681867
mariners,Dominic Canzone,Starting Lineup,26438,686527
mariners,Eduard Bazardo,Projected Bullpen,20997,660825
mariners,Gabe Speier,Projected Bullpen,17170,642100
mariners,George Kirby,Projected Starting Rotation,25436,669923
mariners,J.P. Crawford,Starting Lineup,15491,641487
mariners,Jose A. Ferrer,Projected Bullpen,24017,678606
mariners,Josh Naylor,Starting Lineup,18839,647304
mariners,Julio Rodríguez,Starting Lineup,23697,677594
mariners,Leo Rivas,Projected Bench,21009,660844
mariners,Logan Gilbert,Projected Starting Rotation,22250,669302
mariners,Luis Castillo,Projected Starting Rotation,15689,622491
mariners,Luke Raley,Starting Lineup,19354,670042
mariners,Matt Brash,Projected Bullpen,25756,666374
mariners,Randy Arozarena,Starting Lineup,19290,668227
mariners,Rob Refsnyder,Projected Bench,13770,608701
mariners,Victor Robles,Projected Bench,18363,645302
marlins,Agustín Ramírez,Starting Lineup,26546,682663
marlins,Andrew Nardi,Projected Bullpen,25942,677053
marlins,Anthony Bender,Projected Bullpen,19742,669622
marlins,Braxton Garrett,Projected Starting Rotation,21844,666129
marlins,Cade Gibson,Projected Bullpen,31815,806188
marlins,Calvin Faucher,Projected Bullpen,20116,676534
marlins,Chris Paddack,Projected Starting Rotation,20099,663978
marlins,Christopher Morel,Starting Lineup,21897,666624
marlins,Connor Norby,Starting Lineup,29592,681393
marlins,Eury Pérez,Projected Starting Rotation,27768,691587
marlins,Graham Pauley,Projected Bench,31363,688363
marlins,Griffin Conine,Starting Lineup,21626,665052
marlins,Heriberto Hernández,Projected Bench,24878,681715
marlins,Jakob Marsee,Starting Lineup,31370,805300
marlins,Janson Junk,Projected Bullpen,23301,676083
marlins,Javier Sanoja,Projected Bench,28253,691594
marlins,John King,Projected Bullpen,22051,667463
marlins,Kyle Stowers,Starting Lineup,26151,669065
marlins,Liam Hicks,Projected Bench,29844,689414
marlins,Max Meyer,Projected Starting Rotation,27474,676974
marlins,Otto Lopez,Starting Lineup,19608,672640
marlins,Owen Caissie,Starting Lineup,27496,683357
marlins,Pete Fairbanks,Projected Bullpen,17998,664126
marlins,Sandy Alcantara,Projected Starting Rotation,18684,645261
marlins,Tyler Phillips,Projected Bullpen,20629,663969
marlins,Xavier Edwards,Starting Lineup,22266,669364
mets,Bo Bichette,Starting Lineup,19612,666182
mets,Brett Baty,Starting Lineup,26123,683146
mets,Brooks Raley,Projected Bullpen,10061,548384
mets,Bryan Hudson,Projected Bullpen,19924,663542
mets,Carson Benge,Starting Lineup,sa3025452,701807
mets,Clay Holmes,Projected Starting Rotation,13649,605280
mets,David Peterson,Projected Starting Rotation,20302,656849
mets,Devin Williams,Projected Bullpen,15816,642207
mets,Francisco Alvarez,Starting Lineup,26121,682626
mets,Francisco Lindor,Starting Lineup,12916,596019
mets,Freddy Peralta,Projected Starting Rotation,18679,642547
mets,Huascar Brazobán,Projected Bullpen,6107,623211
mets,Jorge Polanco,Starting Lineup,13152,593871
mets,Juan Soto,Starting Lineup,20123,665742
mets,Kodai Senga,Projected Starting Rotation,31838,673540
mets,Luis García,Projected Bullpen,6984,472610
mets,Luis Robert Jr.,Starting Lineup,20043,673357
mets,Luis Torrens,Projected Bench,15905,620443
mets,Luke Weaver,Projected Bullpen,16918,596133
mets,Marcus Semien,Starting Lineup,12533,543760
mets,Mark Vientos,Projected Bench,22184,668901
mets,Nolan McLean,Projected Starting Rotation,33703,690997
