Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jose Miranda","SDP","ST",28,19,40,45,13,7,4,0,2,6,9,4,0,11,1,0,0,1,0,0,0.325,"Jose Miranda","20538",669304
"Kody Clemens","MIN","ST",30,11,31,35,9,5,2,2,0,3,5,3,0,3,0,1,0,2,2,0,0.29032258,"Kody Clemens","20572",665019
"Leo Rivas","SEA","ST",28,17,35,45,7,4,1,0,2,7,3,10,0,11,0,0,0,0,2,0,0.2,"Leo Rivas","21009",660844
"Nico Hoerner","CHC","ST",29,11,27,33,8,3,2,1,2,7,6,5,0,5,0,1,0,1,0,0,0.296296296,"Nico Hoerner","21479",663538
"Brandon Lockridge","MIL","ST",29,13,38,46,12,6,2,0,4,13,9,6,0,11,2,0,0,1,3,0,0.315789473,"Brandon Lockridge","21496",663604
"Luken Baker","ARI","ST",29,13,33,39,9,5,1,0,3,8,8,6,0,7,0,0,0,0,0,1,0.272727272,"Luken Baker","21497",663609
"Trevor Larnach","MIN","ST",29,13,35,40,6,5,0,0,1,4,1,5,0,12,0,0,0,0,0,0,0.171428571,"Trevor Larnach","21501",663616
"Joey Bart","PIT","ST",29,12,31,34,5,4,1,0,0,2,2,1,0,13,2,0,0,3,0,0,0.161290322,"Joey Bart","21524",663698
"Matt Vierling","DET","ST",29,14,41,43,12,5,4,1,2,6,9,2,0,7,0,0,0,1,0,0,0.292682926,"Matt Vierling","21558",663837
"Alec Bohm","PHI","ST",29,12,35,37,11,6,2,0,3,5,9,1,0,4,0,1,0,2,0,0,0.314285714,"Alec Bohm","21618",664761
"Jake McCarthy","COL","ST",28,15,43,49,14,10,3,1,0,7,5,3,0,7,1,1,1,1,6,1,0.325581395,"Jake McCarthy","21622",664983
"Griffin Conine","MIA","ST",28,13,33,40,7,6,0,0,1,4,4,6,0,11,0,0,0,0,1,0,0.212121212,"Griffin Conine","21626",665052
"Rafael Marchán","PHI","ST",27,13,30,34,7,4,3,0,0,2,6,3,0,6,0,1,0,0,0,0,0.233333333,"Rafael Marchan","21646",665561
"José Fermín","STL","ST",27,16,42,46,7,6,1,0,0,3,1,4,0,6,0,0,0,0,1,0,0.166666666,"Jose Fermin","21746",665877
"Esteury Ruiz","MIA","ST",27,14,30,40,4,4,0,0,0,1,3,6,0,7,3,1,0,0,5,0,0.133333333,"Esteury Ruiz","21780",665923
"Andrés Chaparro","WSN","ST",27,15,31,37,5,3,0,0,2,4,5,5,0,11,0,1,0,0,0,0,0.161290322,"Andres Chaparro","21797",665953
"Freddy Fermin","SDP","ST",31,12,34,36,14,9,3,0,2,10,11,2,0,3,0,0,0,0,0,1,0.411764705,"Freddy Fermin","21840",666023
"Will Benson","CIN","ST",28,14,35,44,9,4,1,0,4,13,7,8,0,7,1,0,0,1,2,0,0.257142857,"Will Benson","21853",666181
"Jerar Encarnacion","SFG","ST",28,20,47,48,15,10,3,0,2,4,11,0,0,8,0,1,0,1,0,0,0.319148936,"Jerar Encarnacion","21871",666464
"Christopher Morel","MIA","ST",27,14,37,41,5,4,0,1,0,0,4,3,0,13,0,1,0,0,1,0,0.135135135,"Christopher Morel","21897",666624
"Dane Myers","CIN","ST",30,12,23,35,8,4,3,0,1,7,5,11,0,3,1,0,0,2,1,0,0.347826086,"Dane Myers","22054",667472
"Ryan Vilade","TBR","ST",27,17,40,47,9,6,2,0,1,8,4,5,0,5,1,1,0,2,1,1,0.225,"Ryan Vilade","22165",668723
"Mark Vientos","NYM","ST",26,9,28,30,1,0,1,0,0,0,1,1,0,5,1,0,0,4,0,0,0.035714285,"Mark Vientos","22184",668901
"Mason McCoy","SDP","ST",31,17,36,40,6,4,1,1,0,4,3,3,0,7,0,0,0,0,1,0,0.166666666,"Mason McCoy","22232",669200
"Nolan Gorman","STL","ST",26,15,38,44,9,4,1,1,3,3,6,6,0,8,0,0,0,2,0,0,0.236842105,"Nolan Gorman","22263",669357
"Xavier Edwards","MIA","ST",26,12,30,35,5,4,1,0,0,2,2,4,0,4,0,1,0,0,3,1,0.166666666,"Xavier Edwards","22266",669364
"Samad Taylor","SDP","ST",27,17,30,34,7,5,2,0,0,6,5,2,0,8,0,2,0,0,3,0,0.233333333,"Samad Taylor","22274",669392
"Jake Burger","TEX","ST",30,16,41,46,12,8,1,0,3,6,9,5,0,12,0,0,0,0,0,0,0.292682926,"Jake Burger","22275",669394
"Michael Siani","LAD","ST",26,16,28,35,4,3,1,0,0,6,0,7,0,5,0,0,0,1,3,0,0.142857142,"Michael Siani","22557",672279
"Jarred Kelenic","CHW","ST",26,13,38,41,7,4,1,0,2,6,5,3,0,12,0,0,0,0,2,0,0.184210526,"Jarred Kelenic","22558",672284
"Gabriel Arias","CLE","ST",26,13,32,36,11,7,4,0,0,4,4,3,0,10,1,0,0,1,0,0,0.34375,"Gabriel Arias","22563",672356
"Oswald Peraza","LAA","ST",26,16,48,51,16,8,6,0,2,5,8,3,0,10,0,0,0,2,6,1,0.333333333,"Oswald Peraza","22823",672724
"Wenceel Pérez","DET","ST",26,14,34,38,6,6,0,0,0,4,3,3,0,11,1,0,0,1,2,0,0.176470588,"Wenceel Perez","22857",672761
"Lenyn Sosa","CHW","ST",26,14,39,44,10,3,5,0,2,6,7,4,0,7,0,1,0,1,1,1,0.256410256,"Lenyn Sosa","22896",672820
"Jacob Amaya","ARI","ST",27,15,41,44,15,13,0,0,2,10,10,2,0,10,0,1,0,1,3,0,0.365853658,"Jacob Amaya","23296",676070
"Nelson Velázquez","STL","ST",27,14,39,46,13,8,1,0,4,8,10,7,0,3,0,0,0,3,0,0,0.333333333,"Nelson Velazquez","23359",676369
"José Barrero","BAL","ST",28,14,33,35,4,1,1,0,2,4,5,1,0,13,1,0,0,0,0,0,0.121212121,"Jose Barrero","23378",676480
"Eric Wagaman","MIN","ST",28,16,35,40,9,8,0,0,1,3,3,5,0,11,0,0,0,2,1,2,0.257142857,"Eric Wagaman","23395",676572
"Davis Schneider","TOR","ST",27,15,32,41,3,3,0,0,0,1,2,7,0,10,1,1,0,2,0,1,0.09375,"Davis Schneider","23565",676914
"Brayan Rocchio","CLE","ST",25,12,32,36,10,5,4,0,1,3,4,4,0,7,0,0,0,1,2,1,0.3125,"Brayan Rocchio","23690",677587
"José Tena","WSN","ST",25,16,29,38,6,5,0,0,1,6,2,9,0,8,0,0,0,0,1,1,0.206896551,"Jose Tena","23691",677588
"Ronny Mauricio","NYM","ST",25,13,32,36,10,5,4,0,1,3,5,3,0,6,1,0,0,1,2,0,0.3125,"Ronny Mauricio","23698",677595
"Ezequiel Duran","TEX","ST",27,16,41,49,12,6,3,0,3,8,10,7,0,9,1,0,0,1,0,0,0.292682926,"Ezequiel Duran","23733",677649
"Blaze Alexander","BAL","ST",27,13,32,36,9,8,1,0,0,4,1,4,0,6,0,0,0,0,1,0,0.28125,"Blaze Alexander","23789",677942
"Parker Meadows","DET","ST",26,15,40,46,7,5,2,0,0,4,2,6,0,12,0,0,0,1,2,0,0.175,"Parker Meadows","23800",678009
"Jorge Barrosa","ARI","ST",25,13,37,41,12,5,3,2,2,9,8,4,0,7,0,0,0,1,0,0,0.324324324,"Jorge Barrosa","23968",678489
"Liover Peguero","PHI","ST",25,15,37,39,5,3,2,0,0,3,4,2,0,12,0,0,0,1,0,0,0.135135135,"Liover Peguero","24273",678894
"Max Schuemann","NYY","ST",29,14,29,38,9,6,3,0,0,6,1,9,0,6,0,0,0,0,2,0,0.310344827,"Max Schuemann","24488",680474
"DaShawn Keirsey Jr.","ATL","ST",29,13,29,33,6,3,2,0,1,6,4,4,0,10,0,0,0,0,3,0,0.206896551,"DaShawn Keirsey Jr.","24496",680577
"Addison Barger","TOR","ST",26,15,36,41,10,4,3,0,3,5,12,5,0,9,0,0,0,0,0,0,0.277777777,"Addison Barger","24598",680718
"Steven Kwan","CLE","ST",28,14,36,42,9,3,2,2,2,8,5,5,0,4,1,0,0,0,0,0,0.25,"Steven Kwan","24610",680757
"Ryan Jeffers","MIN","ST",29,12,35,38,7,7,0,0,0,1,4,3,0,7,0,0,0,2,0,0,0.2,"Ryan Jeffers","24618",680777
"Ryan Fitzgerald","LAD","ST",32,18,30,34,10,5,4,1,0,8,7,4,0,7,0,0,0,0,0,0,0.333333333,"Ryan Fitzgerald","24622",680837
"Owen Miller","CHC","ST",29,15,28,33,7,4,3,0,0,3,6,3,0,7,0,2,0,1,2,0,0.25,"Owen Miller","24655",680911
"Brendan Donovan","SEA","ST",29,13,35,42,15,12,2,0,1,7,6,4,0,5,2,1,0,0,2,0,0.428571428,"Brendan Donovan","24679",680977
"Jonah Bride","TEX","ST",30,18,38,45,7,5,2,0,0,5,6,5,0,7,2,0,0,0,0,1,0.184210526,"Jonah Bride","24703",681146
"Logan O'Hoppe","LAA","ST",26,17,41,48,10,5,1,1,3,6,10,6,0,10,1,0,0,0,2,1,0.243902439,"Logan O'Hoppe","24729",681351
"James Outman","MIN","ST",29,15,37,46,8,6,0,0,2,7,6,6,0,15,2,1,0,0,7,1,0.216216216,"James Outman","24770",681546
"Andy Pages","LAD","ST",25,15,41,43,15,10,3,1,1,7,8,1,0,8,0,1,0,2,0,0,0.365853658,"Andy Pages","24816",681624
"Heriberto Hernández","MIA","ST",26,12,30,34,7,3,1,0,3,4,4,4,0,8,0,0,0,0,3,1,0.233333333,"Heriberto Hernandez","24878",681715
"David Fry","CLE","ST",30,12,29,36,4,0,3,0,1,4,4,6,0,7,1,0,0,0,0,0,0.137931034,"David Fry","24934",681807
"Drew Avans","COL","ST",30,14,30,34,3,1,2,0,0,4,2,4,0,11,0,0,0,1,1,0,0.1,"Drew Avans","25183",682183
"Nick Sogard","BOS","ST",28,18,37,43,3,2,0,0,1,4,4,5,0,6,0,1,0,0,2,0,0.081081081,"Nick Sogard","25483",686765
"Joey Ortiz","MIL","ST",27,10,29,35,12,10,1,0,1,9,5,5,0,7,1,0,0,0,2,1,0.413793103,"Joey Ortiz","25493",687401
"Cade Marlowe","ATH","ST",29,18,46,50,15,11,1,1,2,10,6,4,0,7,0,0,0,1,4,0,0.326086956,"Cade Marlowe","25505",687799
"Korey Lee","CHW","ST",27,14,37,46,11,6,3,0,2,7,6,9,0,10,0,0,0,0,4,2,0.297297297,"Korey Lee","25543",686676
"Bryan Ramos","BAL","ST",24,12,33,36,10,6,3,0,1,3,3,2,0,9,1,0,0,0,0,0,0.303030303,"Bryan Ramos","25621",682868
"Will Brennan","SFG","ST",28,19,35,39,11,8,3,0,0,8,6,4,0,5,0,0,0,0,0,3,0.314285714,"Will Brennan","25660",686823
"Grant McCray","SFG","ST",25,19,30,40,8,7,0,0,1,10,4,8,0,6,1,1,0,0,3,2,0.266666666,"Grant McCray","25690",687529
"CJ Abrams","WSN","ST",25,14,35,41,8,4,3,1,0,3,1,6,0,9,0,0,0,0,1,1,0.228571428,"CJ Abrams","25768",682928
"Jared Triolo","PIT","ST",28,14,34,38,9,7,2,0,0,6,4,4,0,10,0,0,0,0,1,0,0.264705882,"Jared Triolo","25807",669707
"Shea Langeliers","ATH","ST",28,17,42,48,15,5,4,0,6,14,12,5,0,8,1,0,0,0,0,0,0.357142857,"Shea Langeliers","25816",669127
"Logan Davidson","TBR","ST",28,16,35,41,5,2,2,0,1,5,4,5,0,15,0,1,0,0,1,0,0.142857142,"Logan Davidson","25844",669722
"Ryan Kreidler","MIN","ST",28,15,34,38,4,3,0,0,1,5,1,3,0,11,1,0,0,0,1,0,0.117647058,"Ryan Kreidler","25867",668952
"Michael Harris II","ATL","ST",25,13,30,35,10,8,2,0,0,6,7,4,0,5,0,1,0,0,5,0,0.333333333,"Michael Harris II","25931",671739
"Kerry Carpenter","DET","ST",28,14,38,42,7,5,1,1,0,4,1,3,0,12,1,0,0,0,0,0,0.184210526,"Kerry Carpenter","25961",681481
"Kevin Alcántara","CHC","ST",23,10,31,34,11,8,2,0,1,5,4,2,0,11,1,0,0,1,0,0,0.354838709,"Kevin Alcantara","25971",682634
"Riley Greene","DET","ST",25,13,35,38,10,6,2,0,2,3,7,3,0,8,0,0,0,1,0,0,0.285714285,"Riley Greene","25976",682985
"Nasim Nuñez","WSN","ST",25,13,29,38,6,3,3,0,0,7,1,8,0,9,1,0,0,1,6,0,0.206896551,"Nasim Nunez","25979",683083
"Brett Baty","NYM","ST",26,10,28,31,10,6,3,0,1,5,6,3,0,4,0,0,0,0,1,0,0.357142857,"Brett Baty","26123",683146
"Troy Johnston","COL","ST",29,19,46,54,15,11,3,1,0,4,5,6,0,10,1,1,0,0,2,2,0.326086956,"Troy Johnston","26143",687859
"Dominic Fletcher","PIT","ST",28,14,31,35,8,6,1,0,1,5,2,2,0,6,2,0,0,0,1,0,0.258064516,"Dominic Fletcher","26149",666150
"Andrew Vaughn","MIL","ST",28,13,40,46,16,11,3,0,2,7,8,5,0,7,1,0,0,0,0,0,0.4,"Andrew Vaughn","26197",683734
"Jake Mangum","PIT","ST",30,14,36,41,10,8,1,1,0,5,3,4,0,10,1,0,0,0,2,0,0.277777777,"Jake Mangum","26202",663968
"Tyler Fitzgerald","SFG","ST",28,20,37,38,7,2,4,0,1,3,7,0,0,14,0,1,0,1,0,0,0.189189189,"Tyler Fitzgerald","26208",666149
"John Rave","KCR","ST",28,13,31,36,7,3,2,2,0,1,2,2,0,9,1,0,2,0,2,0,0.225806451,"John Rave","26284",670231
"Adley Rutschman","BAL","ST",28,13,38,41,11,7,2,0,2,4,5,3,0,7,0,0,0,0,0,0,0.289473684,"Adley Rutschman","26288",668939
"Bryson Stott","PHI","ST",28,13,33,40,12,8,1,0,3,7,6,6,0,6,0,1,0,0,1,0,0.363636363,"Bryson Stott","26294",681082
"Michael Busch","CHC","ST",28,12,32,37,8,4,4,0,0,7,2,3,0,13,2,0,0,0,0,0,0.25,"Michael Busch","26319",683737
"Spencer Steer","CIN","ST",28,15,39,46,7,3,4,0,0,8,3,7,0,10,0,0,0,1,1,0,0.179487179,"Spencer Steer","26323",668715
"JJ Bleday","CIN","ST",28,14,40,43,13,6,3,0,4,8,11,2,0,8,1,0,0,1,0,0,0.325,"JJ Bleday","26368",668709
"Josh Smith","TEX","ST",28,16,38,49,15,8,3,0,4,10,12,11,0,9,0,0,0,0,2,2,0.394736842,"Josh Smith","26396",669701
"Matt Wallner","MIN","ST",28,15,39,48,13,8,3,0,2,6,5,8,0,12,1,0,0,0,1,0,0.333333333,"Matt Wallner","26466",670242
"Luis Matos","SFG","ST",24,21,46,51,13,8,3,0,2,7,5,1,0,3,4,0,0,2,1,0,0.282608695,"Luis Matos","26467",682641
"Spencer Horwitz","PIT","ST",28,11,31,34,4,3,1,0,0,1,2,2,0,6,1,0,0,1,0,0,0.129032258,"Spencer Horwitz","26477",687462
"Noelvi Marte","CIN","ST",24,15,43,44,11,4,4,0,3,5,11,1,0,13,0,0,0,0,0,0,0.255813953,"Noelvi Marte","26517",682622
"Angel Martínez","CLE","ST",24,14,34,37,12,3,6,1,2,6,2,2,0,6,1,0,0,0,1,2,0.352941176,"Angel Martinez","26540",682657
"Luisangel Acuña","CHW","ST",24,13,37,41,17,13,3,0,1,4,3,3,0,5,1,0,0,1,4,2,0.459459459,"Luisangel Acuna","26548",682668
"Elly De La Cruz","CIN","ST",24,14,40,43,12,3,6,1,2,7,10,3,0,12,0,0,0,1,3,0,0.3,"Elly De La Cruz","26668",682829
"Austin Martin","MIN","ST",27,13,28,34,8,8,0,0,0,2,0,5,0,4,1,0,0,0,4,1,0.285714285,"Austin Martin","27462",668885
"Spencer Torkelson","DET","ST",26,13,35,37,8,3,3,0,2,5,6,1,0,9,1,0,0,2,0,0,0.228571428,"Spencer Torkelson","27465",679529
"Tyler Soderstrom","ATH","ST",24,16,40,46,14,7,3,0,4,10,13,4,0,8,2,0,0,1,0,0,0.35,"Tyler Soderstrom","27467",691016
"Jordan Walker","STL","ST",24,12,37,39,6,6,0,0,0,2,2,2,0,15,0,0,0,2,0,1,0.162162162,"Jordan Walker","27475",691023
"Masyn Winn","STL","ST",24,13,33,39,4,4,0,0,0,5,0,6,0,8,0,0,0,2,1,0,0.121212121,"Masyn Winn","27479",691026
"Rece Hinds","CIN","ST",25,20,38,42,15,5,4,1,5,9,11,4,0,13,0,0,0,0,1,1,0.394736842,"Rece Hinds","27493",677956
"Nick Yorke","PIT","ST",24,16,42,46,11,9,0,1,1,8,4,3,0,4,1,0,0,2,3,0,0.261904761,"Nick Yorke","27504",694377
"David Hamilton","MIL","ST",28,15,42,47,12,8,3,0,1,7,9,5,0,7,0,0,0,1,5,0,0.285714285,"David Hamilton","27531",666152
"Garrett Mitchell","MIL","ST",27,10,29,34,2,0,1,0,1,4,4,5,0,18,0,0,0,0,1,0,0.068965517,"Garrett Mitchell","27555",669003
"Casey Schmitt","SFG","ST",27,19,45,49,14,13,1,0,0,7,3,3,0,8,1,0,0,1,2,0,0.311111111,"Casey Schmitt","27577",669477
"Alec Burleson","STL","ST",27,14,31,42,10,9,0,0,1,5,4,9,0,8,1,0,0,0,0,0,0.322580645,"Alec Burleson","27615",676475
"Nick Loftin","KCR","ST",27,14,38,43,11,6,3,0,2,4,11,5,0,6,0,0,0,1,1,1,0.289473684,"Nick Loftin","27630",679845
"Christian Koss","SFG","ST",28,17,36,44,15,14,0,0,1,8,8,7,0,5,1,0,0,0,1,2,0.416666666,"Christian Koss","27653",683766
"Joey Wiemer","WSN","ST",27,17,33,38,5,2,2,0,1,3,4,4,0,10,1,0,0,0,1,1,0.151515151,"Joey Wiemer","27690",686894
"Evan Carter","TEX","ST",23,13,29,38,6,2,1,1,2,5,6,8,0,8,0,1,0,0,1,0,0.206896551,"Evan Carter","27790",694497
"Colt Keith","DET","ST",24,13,32,37,7,6,1,0,0,4,4,5,0,13,0,0,0,0,0,0,0.21875,"Colt Keith","27899",690993
"Alejandro Osuna","TEX","ST",23,11,29,34,10,9,1,0,0,2,5,5,0,3,0,0,0,0,4,0,0.344827586,"Alejandro Osuna","27915",696030
"Petey Halpin","CLE","ST",24,15,30,36,8,4,2,0,2,10,5,5,0,9,1,0,0,0,3,0,0.266666666,"Petey Halpin","27931",690984
"Adael Amador","COL","ST",23,12,35,37,8,5,1,0,2,6,5,2,0,6,0,0,0,3,2,0,0.228571428,"Adael Amador","27962",691182
"Edgar Quero","CHW","ST",23,14,46,50,14,11,2,0,1,3,12,4,0,12,0,0,0,0,0,0,0.304347826,"Edgar Quero","28022",700337
"Jasson Domínguez","NYY","ST",23,14,40,45,13,8,2,0,3,9,10,4,0,11,0,1,0,0,3,1,0.325,"Jasson Dominguez","28080",691176
"Jhostynxon Garcia","PIT","ST",23,16,34,38,15,12,1,0,2,9,5,4,0,9,0,0,0,1,3,0,0.44117647,"Jhostynxon Garcia","28142",691373
"Coby Mayo","BAL","ST",24,12,31,34,14,9,3,0,2,3,12,1,0,1,0,2,0,1,1,0,0.451612903,"Coby Mayo","28312",691723
"Moisés Ballesteros","CHC","ST",22,11,31,33,11,7,2,0,2,4,8,2,0,5,0,0,0,1,0,0,0.354838709,"Moises Ballesteros","28820",694208
